,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,EMA10,turnoverrate10,volatilityratio10
0,600000.SH,20201014,9.54,9.56,9.5,9.53,9.54,-0.01,-0.1048,429692.17,409511.68200000003,9.554007399946828,0.0013662,13.001397479214347
1,600000.SH,20201013,9.58,9.59,9.52,9.54,9.59,-0.05,-0.5214,280590.97,267595.711,9.559342377298377,0.0014445,14.426907240983072
2,600000.SH,20201012,9.45,9.63,9.42,9.59,9.42,0.17,1.8047,666716.37,637356.691,9.563640683281797,0.0015397,14.831562474749743
3,600000.SH,20201009,9.44,9.48,9.4,9.42,9.39,0.03,0.3195,397726.87,375559.36600000004,9.557783057178655,0.001637,12.256930426803377
4,600000.SH,20200930,9.45,9.49,9.35,9.39,9.43,-0.04,-0.4242,390068.07,367745.38899999997,9.588401514660998,0.0016486,11.576431357259892
5,600000.SH,20200929,9.5,9.52,9.43,9.43,9.46,-0.03,-0.3171,329882.66,312583.585,9.632490739809688,0.0016911,11.835317282889777
6,600000.SH,20200928,9.49,9.53,9.46,9.46,9.47,-0.01,-0.1056,262578.27,249063.48899999997,9.67748868174097,0.0017375,11.81693232310123
7,600000.SH,20200925,9.5,9.53,9.46,9.47,9.5,-0.03,-0.3158,294875.05,279750.442,9.725819499988512,0.0017804,11.747069935233117
8,600000.SH,20200924,9.61,9.62,9.46,9.5,9.63,-0.13,-1.3499,538587.39,512493.256,9.782668277515087,0.0018501,11.724632287461123
9,600000.SH,20200923,9.71,9.72,9.62,9.63,9.7,-0.07,-0.7216,419095.87,404393.34,9.845483450710633,0.0018512,10.650416998243655
10,600000.SH,20200922,9.81,9.84,9.69,9.7,9.84,-0.14,-1.4228,659520.98,643194.1460000001,9.893368662394078,0.0018768,10.48589473466157
11,600000.SH,20200921,9.94,9.97,9.83,9.84,9.94,-0.1,-1.006,559987.16,553037.614,9.936339476010781,0.0018326,9.158438946566891
12,600000.SH,20200918,9.84,9.94,9.8,9.94,9.83,0.11,1.119,952305.81,941630.5079999999,9.957748248291855,0.0018413,8.290829767850306
13,600000.SH,20200917,9.87,9.89,9.8,9.83,9.86,-0.03,-0.3043,431716.75,424496.71200000006,9.96169230313629,0.0016479,4.689460352479657
14,600000.SH,20200916,9.87,9.9,9.8,9.86,9.86,0.0,0.0,514706.57,507227.12899999996,9.990957259305915,0.0016461,4.927716927273562
15,600000.SH,20200915,9.91,9.92,9.85,9.86,9.9,-0.04,-0.40399999999999997,466015.49,459933.67799999996,10.020058872402126,0.0016728,5.845342542100339
16,600000.SH,20200914,9.95,9.95,9.86,9.9,9.92,-0.02,-0.2016,388512.3,384257.706,10.055627511045243,0.0017059,5.9758785752363455
17,600000.SH,20200911,9.95,9.96,9.85,9.92,9.96,-0.04,-0.4016,499476.42,494619.68,10.090211402222863,0.0018583,6.284698959470005
18,600000.SH,20200910,10.06,10.06,9.94,9.96,10.01,-0.05,-0.4995,541699.16,540727.381,10.12803615860392,0.0018772,10.17929599389083
19,600000.SH,20200909,10.01,10.08,10.0,10.01,10.05,-0.04,-0.39799999999999996,494185.0,496009.217,10.16537752693392,0.001801,10.1977375064972
20,600000.SH,20200908,10.07,10.09,10.01,10.05,10.01,0.04,0.3996,529725.4,532346.433,10.199905866666983,0.0017724,10.410549268110993
21,600000.SH,20200907,10.07,10.16,10.01,10.01,10.07,-0.06,-0.5958,585645.85,589509.231,10.233218281647636,0.00169689,9.62761294257714
22,600000.SH,20200904,10.07,10.15,10.01,10.07,10.12,-0.05,-0.4941,384439.82,387141.41799999995,10.282822343987352,0.0016659,9.58941573410673
23,600000.SH,20200903,10.19,10.23,10.11,10.12,10.18,-0.06,-0.5894,408320.2,414701.60799999995,10.33011619845541,0.0016468,10.19648737302626
24,600000.SH,20200902,10.28,10.29,10.12,10.18,10.29,-0.11,-1.069,567870.81,578763.4789999999,10.376808686586644,0.001692,10.749299325929721
25,600000.SH,20200901,10.31,10.36,10.26,10.29,10.36,-0.07,-0.6757,539312.33,555922.0989999999,10.420543950023914,0.0016445,10.678394242340085
26,600000.SH,20200831,10.46,10.51,10.32,10.36,10.46,-0.1,-0.956,800373.56,835524.3659999999,10.449553716861661,0.0016451,11.781818785629952
27,600000.SH,20200828,10.35,10.46,10.31,10.46,10.35,0.11,1.0628,531312.03,552429.111,10.469454542416505,0.0017116,17.848647558367954
28,600000.SH,20200827,10.38,10.4,10.32,10.35,10.37,-0.02,-0.1929,304624.92,315213.297,10.471555551593745,0.0016562,17.351155280297338
29,600000.SH,20200826,10.44,10.45,10.35,10.37,10.45,-0.08,-0.7656,392787.32,408174.292,10.498567896723888,0.0016396,17.426571824067164
30,600000.SH,20200825,10.48,10.51,10.41,10.45,10.46,-0.01,-0.0956,378972.5,396122.405,10.52713854077184,0.0016538,17.798591638820962
31,600000.SH,20200824,10.57,10.57,10.44,10.46,10.5,-0.04,-0.381,389828.22,408922.475,10.544280438306723,0.0017456,17.94645696994485
