ts_code	trade_date	open	high	low	close	pre_close	change	pct_chg	vol	amount
600015.SH	20201014	6.23	6.24	6.18	6.2	6.22	-0.02	-0.3215	117511.41	72859.163
600015.SH	20201013	6.23	6.24	6.2	6.22	6.24	-0.02	-0.3205	118848.65	73934.129
600015.SH	20201012	6.15	6.26	6.15	6.24	6.16	0.08	1.2987	195908.93	121745.738
600015.SH	20201009	6.16	6.17	6.15	6.16	6.13	0.03	0.4894	159513.91	98231.905
600015.SH	20200930	6.15	6.17	6.11	6.13	6.14	-0.01	-0.1629	168537.38	103467.17
600015.SH	20200929	6.2	6.2	6.13	6.14	6.17	-0.03	-0.4862	125381.95	77312.371
600015.SH	20200928	6.18	6.2	6.15	6.17	6.18	-0.01	-0.1618	84748.98	52332.212
600015.SH	20200925	6.17	6.19	6.15	6.18	6.18	0.0	0.0	113025.87	69707.92
600015.SH	20200924	6.18	6.19	6.12	6.18	6.2	-0.02	-0.3226	219074.02	134819.254
600015.SH	20200923	6.25	6.26	6.2	6.2	6.24	-0.04	-0.641	137184.93	85266.6
600015.SH	20200922	6.3	6.33	6.22	6.24	6.32	-0.08	-1.2658	161607.92	101355.573
600015.SH	20200921	6.33	6.35	6.29	6.32	6.34	-0.02	-0.3155	198293.32	125263.8
600015.SH	20200918	6.25	6.34	6.23	6.34	6.25	0.09	1.44	225599.09	142077.116
600015.SH	20200917	6.25	6.27	6.23	6.25	6.25	0.0	0.0	131197.68	81936.464
600015.SH	20200916	6.21	6.27	6.2	6.25	6.22	0.03	0.4823	181511.52	113397.708
600015.SH	20200915	6.23	6.24	6.2	6.22	6.23	-0.01	-0.1605	121589.42	75625.307
600015.SH	20200914	6.21	6.24	6.19	6.23	6.22	0.01	0.1608	149831.6	93098.495
600015.SH	20200911	6.18	6.25	6.15	6.22	6.2	0.02	0.3226	220836.99	136888.196
600015.SH	20200910	6.26	6.28	6.18	6.2	6.25	-0.05	-0.8	214514.14	133490.028
600015.SH	20200909	6.25	6.29	6.23	6.25	6.29	-0.04	-0.6359	232436.48	145333.44
600015.SH	20200908	6.23	6.3	6.23	6.29	6.23	0.06	0.9631	203378.0	127435.431
600015.SH	20200907	6.23	6.28	6.2	6.23	6.23	0.0	0.0	207059.89	129192.672
600015.SH	20200904	6.26	6.27	6.22	6.23	6.3	-0.07	-1.1111	232350.75	145091.659
600015.SH	20200903	6.34	6.36	6.27	6.3	6.33	-0.03	-0.4739	270988.26	171235.196
600015.SH	20200902	6.39	6.4	6.32	6.33	6.38	-0.05	-0.7837	318159.6	201876.122
600015.SH	20200901	6.4	6.41	6.36	6.38	6.43	-0.05	-0.7776	317109.35	202359.356
600015.SH	20200831	6.42	6.47	6.39	6.43	6.43	0.0	0.0	471027.86	302852.695
600015.SH	20200828	6.37	6.44	6.35	6.43	6.37	0.06	0.9419	282060.49	180831.303
600015.SH	20200827	6.38	6.39	6.35	6.37	6.38	-0.01	-0.1567	152045.2	96812.065
600015.SH	20200826	6.42	6.42	6.36	6.38	6.42	-0.04	-0.6231	203506.01	129944.388
600015.SH	20200825	6.43	6.45	6.39	6.42	6.42	0.0	0.0	216062.3	138647.008
600015.SH	20200824	6.45	6.47	6.41	6.42	6.43	-0.01	-0.1555	194714.06	125288.933
600015.SH	20200821	6.45	6.47	6.42	6.43	6.43	0.0	0.0	226307.8	145810.646
600015.SH	20200820	6.52	6.52	6.41	6.43	6.53	-0.1	-1.5314	291051.27	187854.399
600015.SH	20200819	6.53	6.58	6.5	6.53	6.55	-0.02	-0.3053	321870.11	210497.914
600015.SH	20200818	6.61	6.62	6.52	6.55	6.63	-0.08	-1.2066	425299.62	279064.269
600015.SH	20200817	6.45	6.7	6.45	6.63	6.44	0.19	2.9503	805773.95	531253.017
600015.SH	20200814	6.39	6.45	6.37	6.44	6.39	0.05	0.7825	277702.44	178183.466
600015.SH	20200813	6.41	6.42	6.38	6.39	6.4	-0.01	-0.1563	209990.22	134295.801
600015.SH	20200812	6.4	6.42	6.34	6.4	6.39	0.01	0.1565	272863.41	173993.623
600015.SH	20200811	6.43	6.53	6.38	6.39	6.42	-0.03	-0.4673	428990.69	277139.817
600015.SH	20200810	6.38	6.44	6.34	6.42	6.36	0.06	0.9434	368262.46	235902.985
600015.SH	20200807	6.42	6.44	6.34	6.36	6.44	-0.08	-1.2422	279383.84	178229.475
600015.SH	20200806	6.43	6.47	6.38	6.44	6.42	0.02	0.3115	251257.03	161185.87
600015.SH	20200805	6.46	6.47	6.39	6.42	6.48	-0.06	-0.9259	249312.81	160065.905
600015.SH	20200804	6.43	6.55	6.39	6.48	6.41	0.07	1.092	600971.08	389341.7
600015.SH	20200803	6.39	6.42	6.38	6.41	6.36	0.05	0.7862	323304.39	206804.838
