ts_code	trade_date	close	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv
300595.SZ	20201014	66.23	0.9304	4.7046	0.89	131.05	126.3934	27.4825	62.1697	59.0168	0.0781	0.1006	60724.492	43174.0306	8538.232	4021783.1052	2859416.0466
300595.SZ	20201013	66.18	0.9612	4.8606	0.92	130.951	126.298	27.4618	62.1228	58.9722	0.0782	0.1007	60724.492	43174.0306	8538.232	4018746.8806	2857257.3451
300595.SZ	20201012	65.63	1.3139	6.644	1.25	129.8628	125.2483	27.2335	61.6065	58.4821	0.0788	0.1015	60724.492	43174.0306	8538.232	3985348.41	2833511.6283
300595.SZ	20201009	63.93	1.0345	5.2312	1.01	126.4989	122.0041	26.5281	60.0107	56.9673	0.0809	0.1042	60724.492	43174.0306	8538.232	3882116.7736	2760115.7763
300595.SZ	20200930	62.22	0.9936	5.0243	0.82	123.1154	118.7407	25.8185	58.4056	55.4435	0.0831	0.1071	60724.492	43174.0306	8538.232	3778277.8922	2686288.1839
300595.SZ	20200929	61.43	0.9037	4.5698	0.76	121.4947	117.1777	25.6461	57.6368	54.7137	0.0842	0.1085	60695.802	43174.0306	8538.232	3728543.1169	2652180.6998
300595.SZ	20200928	60.86	0.9536	4.8219	0.73	120.3674	116.0904	25.4081	57.102	54.206	0.085	0.1095	60695.802	43174.0306	8538.232	3693946.5097	2627571.5023
300595.SZ	20200925	60.7	1.3756	6.9557	1.07	120.051	115.7852	25.3413	56.9518	54.0635	0.0853	0.1098	60695.802	43174.0306	8538.232	3684235.1814	2620663.6574
300595.SZ	20200924	59.37	0.8791	4.4429	0.64	117.4205	113.2482	24.7861	55.704	52.8789	0.0872	0.1123	60695.802	43179.8483	8544.0497	3603509.7647	2563587.5936
300595.SZ	20200923	60.0	1.9176	9.6911	1.57	118.6665	114.4499	25.0491	56.2951	53.4401	0.0863	0.1111	60695.802	43179.8483	8544.0497	3641748.12	2590790.898
300595.SZ	20200922	56.6	0.8529	4.3105	0.7	111.9421	107.9644	23.6297	53.105	50.4118	0.0914	0.1178	60695.802	43179.8483	8544.0497	3435382.3932	2443979.4138
300595.SZ	20200921	56.15	1.5484	7.8253	1.33	111.0521	107.1061	23.4418	52.6828	50.011	0.0922	0.1187	60695.802	43179.8483	8544.0497	3408069.2823	2424548.482
300595.SZ	20200918	57.16	1.1753	5.9397	1.08	113.0496	109.0326	23.8634	53.6304	50.9106	0.0905	0.1166	60695.802	43179.8483	8544.0497	3469372.0423	2468160.1288
300595.SZ	20200917	56.56	1.3389	6.7665	1.18	111.863	107.8881	23.613	53.0675	50.3762	0.0915	0.1179	60695.802	43179.8483	8544.0497	3432954.5611	2442252.2198
300595.SZ	20200916	57.85	1.1241	5.6811	0.89	114.4143	110.3488	24.1515	54.2778	51.5251	0.0895	0.1152	60695.802	43179.8483	8544.0497	3511252.1457	2497954.2242
300595.SZ	20200915	59.28	0.8359	4.2244	0.57	117.2425	113.0765	24.7485	55.6195	52.7988	0.0873	0.1125	60695.802	43179.8483	8544.0497	3598047.1426	2559701.4072
300595.SZ	20200914	58.19	1.2769	6.453	0.69	115.0868	110.9974	24.2935	54.5968	51.828	0.0889	0.1146	60695.802	43179.8483	8544.0497	3531888.7184	2512635.3726
300595.SZ	20200911	59.75	0.8712	4.403	0.34	118.1721	113.9731	24.9447	56.0605	53.2174	0.0866	0.1116	60695.802	43179.8483	8544.0497	3626574.1695	2579995.9359
300595.SZ	20200910	59.05	1.5536	7.8515	0.57	116.7876	112.6378	24.6525	55.4037	52.5939	0.0876	0.1129	60695.802	43179.8483	8544.0497	3584087.1081	2549770.0421
300595.SZ	20200909	57.87	1.7488	8.8382	0.66	114.4539	110.387	24.1599	54.2966	51.5429	0.0894	0.1152	60695.802	43179.8483	8544.0497	3512466.0617	2498817.8211
300595.SZ	20200908	59.01	1.8194	9.1948	0.71	116.7085	112.5615	24.6358	55.3662	52.5583	0.0877	0.113	60695.802	43179.8483	8544.0497	3581659.276	2548042.8482
300595.SZ	20200907	58.76	3.3237	16.7972	1.52	116.2141	112.0846	24.5314	55.1316	52.3356	0.0881	0.1135	60695.802	43179.8483	8544.0497	3566485.3255	2537247.8861
300595.SZ	20200904	62.66	4.2513	21.4851	2.55	123.9274	119.5239	26.1596	58.7908	55.8092	0.0826	0.1064	60695.802	43179.8483	8544.0497	3803198.9533	2705649.2945
300595.SZ	20200903	69.73	2.4843	12.5553	1.48	137.9103	133.0099	29.1112	65.4242	62.1063	0.0742	0.0956	60695.802	43179.8483	8544.0497	4232318.2735	3010930.822
300595.SZ	20200902	67.6	1.2972	6.5556	0.65	133.6976	128.9469	28.222	63.4258	60.2091	0.0766	0.0986	60695.802	43179.8483	8544.0497	4103036.2152	2918957.7451
300595.SZ	20200901	66.89	1.4591	7.3738	0.68	132.2934	127.5926	27.9256	62.7596	59.5768	0.0774	0.0997	60695.802	43179.8483	8544.0497	4059942.1958	2888300.0528
300595.SZ	20200831	65.31	1.4071	7.1112	0.65	129.1685	124.5788	27.266	61.2772	58.1695	0.0792	0.1021	60695.802	43179.8483	8544.0497	3964042.8286	2820075.8925
300595.SZ	20200828	65.16	1.6857	8.5193	0.85	128.8718	124.2926	27.2033	61.1364	58.0359	0.0794	0.1023	60695.802	43179.8483	8544.0497	3954938.4583	2813598.9152
300595.SZ	20200827	63.36	2.517	12.7202	1.52	125.3118	120.8591	26.4519	59.4476	56.4327	0.0817	0.1052	60695.802	43179.8483	8544.0495	3845686.0147	2735875.1883
300595.SZ	20200826	65.0	2.9371	14.8436	2.31	128.5554	134.028	29.4816	60.9863	62.6402	0.0796	0.1026	60695.802	43179.8481	8544.0495	3945227.13	2806690.1265
300595.SZ	20200825	62.18	2.1378	10.8038	2.06	122.9781	128.2132	28.2025	58.3404	59.9225	0.0832	0.1072	60695.802	43179.8481	8544.0495	3774064.9684	2684922.9549
300595.SZ	20200824	58.61	1.5061	7.6116	1.59	115.9174	120.852	26.5833	54.9909	56.4821	0.0883	0.1137	60695.802	43179.8481	8544.0495	3557380.9552	2530770.8971
300595.SZ	20200821	57.79	0.8184	4.1362	0.72	114.2956	119.1612	26.2114	54.2215	55.6919	0.0896	0.1154	60695.802	43179.8481	8544.0495	3507610.3976	2495363.4217
300595.SZ	20200820	56.72	0.9016	4.5563	0.65	112.1794	116.9549	25.7261	53.2176	54.6608	0.0912	0.1175	60695.802	43179.8481	8544.0495	3442665.8894	2449160.9842
300595.SZ	20200819	57.35	0.9933	5.0199	0.68	113.4254	118.2539	26.0118	53.8087	55.2679	0.0902	0.1162	60695.802	43179.8481	8544.0495	3480904.2447	2476364.2885
300595.SZ	20200818	59.09	0.9574	4.8387	0.61	116.8667	121.8417	26.801	55.4412	56.9447	0.0876	0.1128	60695.802	43179.8481	8544.0495	3586514.9402	2551497.2242
300595.SZ	20200817	58.92	1.0575	5.3444	0.64	116.5305	121.4912	26.7239	55.2817	56.7809	0.0878	0.1131	60695.802	43179.8481	8544.0495	3576196.6538	2544156.6501
300595.SZ	20200814	58.25	1.7424	8.8057	1.11	115.2054	120.1097	26.42	54.6531	56.1352	0.0888	0.1144	60695.802	43179.8481	8544.0495	3535530.4665	2515226.1518
300595.SZ	20200813	58.22	2.1378	10.8042	1.53	115.1461	120.0478	26.4064	54.625	56.1063	0.0889	0.1145	60695.802	43179.8481	8544.0495	3533709.5924	2513930.7564
300595.SZ	20200812	61.32	1.4365	7.2597	1.03	121.2772	126.4399	27.8125	57.5335	59.0938	0.0844	0.1087	60695.802	43179.8481	8544.0495	3721866.5786	2647788.2855
300595.SZ	20200811	63.01	1.4368	7.2612	0.98	124.6196	129.9247	28.579	59.1192	60.7224	0.0821	0.1058	60695.802	43179.8481	8544.0495	3824442.484	2720762.2288
300595.SZ	20200810	62.46	1.4982	7.5717	0.87	123.5319	128.7906	28.3295	58.6032	60.1924	0.0829	0.1067	60695.802	43179.8481	8544.0495	3791059.7929	2697013.3123
300595.SZ	20200807	62.1	1.3611	6.8788	0.76	122.8199	128.0483	28.1662	58.2654	59.8454	0.0833	0.1074	60695.802	43179.8481	8544.0495	3769209.3042	2681468.567
300595.SZ	20200806	63.44	1.2457	6.2954	0.67	125.4701	130.8113	28.774	59.5226	61.1368	0.0816	0.1051	60695.802	43179.8481	8544.0495	3850541.6789	2739329.5635
300595.SZ	20200805	64.56	1.4254	7.2038	0.71	127.6852	133.1207	29.282	60.5735	62.2161	0.0802	0.1033	60695.802	43179.8481	8544.0495	3918520.9771	2787690.9933
300595.SZ	20200804	63.9	1.8208	9.202	0.86	126.3798	131.7598	28.9827	59.9542	61.5801	0.081	0.1043	60695.802	43179.8481	8544.0495	3878461.7478	2759192.2936
300595.SZ	20200803	64.13	2.7384	13.8394	1.52	126.8347	132.2341	29.087	60.17	61.8017	0.0807	0.104	60695.802	43179.8481	8544.0495	3892421.7823	2769123.6587
300595.SZ	20200731	65.39	1.7155	8.6695	0.87	129.3267	134.8321	29.6585	61.3522	63.016	0.0791	0.102	60695.802	43179.8481	8544.0495	3968898.4928	2823530.2673
300595.SZ	20200730	65.0	1.6311	8.2431	0.85	128.5554	134.028	29.4816	60.9863	62.6402	0.0796	0.1026	60695.802	43179.8481	8544.0495	3945227.13	2806690.1265
300595.SZ	20200729	65.51	2.1182	10.7052	1.15	129.5641	135.0796	29.7129	61.4648	63.1316	0.079	0.1018	60695.802	43179.8481	8544.0495	3976181.989	2828711.849
300595.SZ	20200728	65.49	2.3352	11.8017	1.25	129.5245	135.0383	29.7038	61.4461	63.1124	0.079	0.1018	60695.802	43179.8481	8544.0495	3974968.073	2827848.2521
300595.SZ	20200727	61.06	1.1952	6.0405	0.58	120.763	125.9038	27.6945	57.2896	58.8432	0.0848	0.1092	60695.802	43179.8481	8544.0495	3706085.6701	2636561.525
300595.SZ	20200724	60.27	2.548	12.877	1.26	119.2005	124.2749	27.3362	56.5484	58.0819	0.0859	0.1106	60695.802	43179.8481	8544.0495	3658135.9865	2602449.445
300595.SZ	20200723	65.18	1.3885	7.0174	0.57	128.9114	134.3991	29.5632	61.1552	62.8136	0.0794	0.1023	60695.802	43179.8481	8544.0495	3956152.3744	2814462.4992
300595.SZ	20200722	65.06	1.7661	8.9254	0.65	128.6741	134.1517	29.5088	61.0426	62.698	0.0795	0.1025	60695.802	43179.8481	8544.0495	3948868.8781	2809280.9174
300595.SZ	20200721	63.85	2.4391	12.3266	0.84	126.281	131.6567	28.96	59.9073	61.5319	0.0811	0.1044	60695.802	43179.8481	8544.0495	3875426.9577	2757033.3012
300595.SZ	20200720	60.4	2.2438	11.3398	0.77	119.4576	124.5429	27.3952	56.6704	58.2072	0.0857	0.1104	60695.802	43179.8481	8544.0495	3666026.4408	2608062.8252
300595.SZ	20200717	60.58	2.2518	11.3801	0.76	119.8136	124.9141	27.4768	56.8392	58.3806	0.0854	0.11	60695.802	43179.8481	8544.0495	3676951.6852	2615835.1979
300595.SZ	20200716	60.35	3.3935	17.1499	1.21	119.3587	124.4398	27.3725	56.6234	58.159	0.0858	0.1105	60695.802	43179.8481	8544.0495	3662991.6507	2605903.8328
300595.SZ	20200715	66.18	3.3368	17.728	1.33	130.8892	136.4611	30.0168	62.0934	63.7773	0.0782	0.1007	60695.802	43179.8481	8127.3629	4016848.1764	2857642.3473
300595.SZ	20200714	63.56	3.2262	17.1404	1.27	125.7074	131.0587	28.8284	59.6352	61.2524	0.0814	0.1049	60695.802	43179.8481	8127.3629	3857825.1751	2744511.1452
300595.SZ	20200713	66.64	2.4038	12.771	0.87	131.799	137.4096	30.2254	62.525	64.2206	0.0777	0.1	60695.802	43179.8481	8127.3629	4044768.2453	2877505.0774
300595.SZ	20200710	65.32	2.3663	12.5721	0.86	129.1883	134.6878	29.6267	61.2866	62.9485	0.0792	0.1021	60695.802	43179.8481	8127.3629	3964649.7866	2820507.6779
300595.SZ	20200709	64.52	2.6931	14.3082	1.0	127.6061	133.0382	29.2639	60.536	62.1776	0.0802	0.1033	60695.802	43179.8481	8127.3629	3916093.145	2785963.7994
300595.SZ	20200708	63.69	1.8142	9.6388	0.66	125.9645	131.3268	28.8874	59.7572	61.3777	0.0813	0.1047	60695.802	43179.8481	8127.3629	3865715.6294	2750124.5255
300595.SZ	20200707	63.97	3.4181	18.1603	1.48	126.5183	131.9041	29.0144	60.0199	61.6475	0.0809	0.1042	60695.802	43179.8481	8127.3629	3882710.4539	2762214.883
300595.SZ	20200706	63.82	3.4707	18.4392	1.83	126.2216	131.5949	28.9464	59.8792	61.503	0.0811	0.1045	60695.802	43179.8481	8127.3629	3873606.0836	2755737.9057
300595.SZ	20200703	66.99	2.3763	12.625	1.36	132.4912	138.1313	30.3842	62.8534	64.5579	0.0773	0.0995	60695.802	43179.8481	8127.3629	4066011.776	2892618.0242
300595.SZ	20200702	64.56	2.4213	12.8642	1.59	127.6852	133.1207	29.282	60.5735	62.2161	0.0802	0.1033	60695.802	43179.8481	8127.3629	3918520.9771	2787690.9933
