datetime	content	title	channels
2020-05-17 23:57:49	  白宫贸易顾问纳瓦罗抨击美国疾控中心称，疾控中心在新冠肺炎检测方面拖累了国家。		国际
2020-05-17 23:55:53	阿斯利康制药与牛津签署疫苗全球许可协议。		国际
2020-05-17 23:46:36	  据人民日报：中国驻以色列大使杜伟不幸于5月17日在特拉维夫去世。初步判断，杜伟大使因身体健康原因意外去世，具体还需进一步核实。		国际
2020-05-17 23:42:43	  英国新增新冠肺炎确诊病例3142例至243303例，累计死亡病例34636例，前一日为34466例。		国际 疫情
2020-05-17 23:41:25	  据天空新闻：通过抗疫大型企业贷款援助计划（CLBILS）获得贷款的英国企业将被禁止派息。		公司
2020-05-17 23:33:56	  中国移动今日在中国移动5G生态合作伙伴大会上提出多个5G生态产品的规模目标，其中在5G消息方面，力争客户规模超9亿。（中证报）		公司
2020-05-17 23:31:17	  伊拉克新增新冠肺炎确诊病例144例，累计确诊3404例。		国际
2020-05-17 23:23:54	  英国央行首席经济学家霍尔丹称，英国央行考虑负利率。		国际
2020-05-17 23:20:39	  阿联酋航空：没有宣布大规模裁员。		公司 国际
2020-05-17 23:13:47	  美联储主席鲍威尔：这是一个痛苦的时刻，来得既迅速又强劲。		国际
2020-05-17 23:10:37	  【中国驻以色列大使因身体原因不幸去世】经了解，中国驻以色列大使杜伟不幸于5月17日在特拉维夫去世。初步判断，杜伟大使因身体健康原因意外去世，具体还需进一步核实。(中国之声)		国际
2020-05-17 23:10:20	  前美国国家经济顾问科恩：财税状况需要再度调整。		国际
2020-05-17 23:10:12	  美联储主席鲍威尔：全面的经济复苏需要人们对疫情充满信心。		国际
2020-05-17 23:08:58	美联储主席鲍威尔：经济将在第二到第三季度“稳步”复苏。		国际
2020-05-17 23:07:24	  美联储主席鲍威尔：需要疫苗以实现全面复苏。		国际
2020-05-17 23:06:56	  美联储主席鲍威尔：（经济）将需要一段时间以复苏，长期来看经济将会复苏。经济复苏的时间或将延长至明年年底。		国际
2020-05-17 23:02:21	【伊朗：本月底所有餐厅及酒店将重新开放】当地时间17日，据伊朗迈赫尔通讯社报道，国家抗击新冠肺炎工作组会议决定斋月过后，即本月24日左右，全国范围内的餐饮行业和酒店将重新开放。据悉，自5月4日起，伊朗餐厅已经开始营业，但仅提供外卖服务。（央视）		国际
2020-05-17 22:53:24	  Bitfinex报价显示，比特币价格短线上扬，突破9800美元关口。		市场 国际
2020-05-17 22:41:30	【国金证券：A股步入“两会”窗口 风险偏好有望进一步提升】国金证券研报称，A股市场逐渐步入两会窗口，当前市场对于财政政策的力度存在一定分歧，预计财政政策的力度或超市场预期。A股市场风险偏好或进一步抬升。从股票风险溢价来看，当前A股股票风险溢价仍处在比较高的位置，在疫情冲击下，当前市场风险偏好并不高，后续在刺激政策的催化下风险偏好有望迎来修复。此外，以A股为代表的新兴市场将持续受益于全球流动性宽松大环境。行业配置建议聚焦“消费+基建”等供需两端受益的行业。		公司 A股
2020-05-17 22:34:50	  据半岛电视台：黎巴嫩总理称黎巴嫩周一将部分重启。		国际
2020-05-17 22:23:33	  沙特主权财富基金称其“流动性充足”。		国际
2020-05-17 22:20:10	  沙特主权财富基金：没有有关软银愿景基金支持的保证金贷款计划。		国际
2020-05-17 22:12:17	  据阿富汗黎明新闻报道，当地时间17日阿富汗总统阿什拉夫·加尼（Ashraf Ghani）和前首席执行官阿卜杜拉·阿卜杜拉（Abdullah Abdullah）签署了一份权力分享协议，打破了持续数月的阿国内政治僵局。（央视）		国际
2020-05-17 22:11:28	  【美国科罗拉多州修改病死统计标准：死亡人数骤降近1/4】据《国会山报》16日报道，美国科罗拉多州公共卫生与环境部对新冠肺炎死亡人数的计算方式进行了重大修改。现在，该州卫生部列出，1150名科罗拉多居民“在死亡时感染了新冠病毒”，但其中只有878人是“死于感染新冠病毒”。（人民日报）		国际 疫情
2020-05-17 22:10:14	  美国地质勘探局：汤加内亚富西部91公里处发生5.0级地震。		国际
2020-05-17 22:08:22	  阿联酋航空据悉正在考虑让A380机队提前退役。		国际
2020-05-17 22:06:26	特朗普称，在从医学方面解决新冠肺炎疫情上做得很好。		国际
2020-05-17 22:05:34	  据悉，阿联酋航空集团考虑考虑裁员约3万人。		公司
2020-05-17 22:04:52	【黄金价格创下2012年以来新高 黄金股业绩弹性望充分展现】据wind数据，受避险情绪升温影响，近日国际黄金价格走强，实现4连涨。5月15日，伦敦现货黄金收报1741美元/盎司，盘中一度创下2012年以来最高水平。安信证券认为，随着疫情逐渐消退、复工逐渐开启、先前大幅下跌的货币乘数逐渐回升，再叠加原油开始减产，通胀预期有望回升，实际利率将进入深度负值区间，金价有望创出历史新高，黄金股业绩弹性和资本运作潜力有望充分展现。关注赤峰黄金、山东黄金、湖南黄金等。（怀新资讯）		市场
2020-05-17 22:00:49	  以色列议会批准总理内塔尼亚胡领导的新联合政府。		国际
2020-05-17 21:56:53	  【美国科罗拉多州修改病死统计标准：死亡人数骤降近1/4】据《国会山报》16日报道，美国科罗拉多州公共卫生与环境部对新冠肺炎死亡人数的计算方式进行了重大修改。现在，该州卫生部列出，1150名科罗拉多居民“在死亡时感染了新冠病毒”，但其中只有878人是“死于感染新冠病毒”。		国际 疫情
2020-05-17 21:45:38	  厚普股份：以6000万元收购嘉绮瑞航空装备公司60%股权。		公司
2020-05-17 21:28:50	  约翰斯·霍普金斯大学健康安全中心主任Inglesby：如果幸运的话，可能会在12-18个月内出现新冠肺炎疫苗。		观点
2020-05-17 21:11:00	  摩根大通将小米集团评级上调至中性，目标价12港元。		公司
2020-05-17 21:08:55	  美国卫生部部长Azar：重新开放地区没有出现新冠肺炎病例高峰。不重新开放也会造成不利于健康的后果。		国际 疫情
2020-05-17 21:06:28	  【5月18日起北京市轨道交通满载率控制指标上调至80%】根据交通运输部《关于印发客运场站和交通运输工具新冠肺炎疫情分区分级防控指南（第三版）的通知》关于低风险地区可逐步有序放开公共交通满载率限制的相关要求，经专家评估，5月18日起，北京市将进一步调整公共交通满载率控制指标。其中，地面公交由75%上调至90%，轨道交通由65%上调至80%。（央视新闻）		其他
2020-05-17 20:52:10	  沙特报告新增2736例新冠肺炎确诊病例，周六为2840例。		国际 疫情
2020-05-17 20:46:23	  【安信策略：对外需复苏保持乐观】安信策略研报称，未来几个月，A股的核心不是精准把握小波动，而是要确保把握住“复苏牛”的大趋势。海外对疫情的应对也是一个动态的学习和进步的过程，海外经济复工与复苏的前景并不悲观。一旦海外经济从疫情中走出来，那么其改善弹性更大，这对于A股中对外依存度较高行业的业绩将有较为明显提振。预计A股仍将受益于流动性、盈利与风险偏好的持续边际改善，呈现震荡向上趋势。		观点
2020-05-17 20:45:47	  中国广电5G移动终端即将推向商用市场。		焦点
2020-05-17 20:45:09	十三届全国人大常委会举行第五十四次委员长会议。委员长会议建议，十三届全国人大常委会第十八次会议增加审议全国人大常委会代表资格审查委员会关于个别代表的代表资格的报告和有关任免案等。		宏观
2020-05-17 20:37:44	  【中泰证券：国内手机市场4月出货强势反弹 看好下半年5G引领手机需求向上】中泰证券研报称，4月智能机的强势反弹，是对Q1受疫情冲击而大幅下调的手机销售的强势修复。手机有其换机节律，硬件升级和消费体验并驱，这些因素不会因疫情消失，尤其在5G建设带动下运营商补贴推升5G用户渗透率将助推消费者更换新终端的意愿，预计下半年将迎来5G引领的手机换机潮，5G手机出货量占比有望持续提升，参考4G发展，国内5G用户渗透率将有望在三年左右趋向饱和。		市场
2020-05-17 20:23:45	  【中国联通宣布迈入三千兆时代，将推出三千兆5G融合套餐】5月17日是世界电信和信息社会日，中国联通宣布正式进入“三千兆”时代，将以“千兆5G、千兆宽带、千兆WiFi”构建业务和网络服务能力，打造全场景高速上网服务。中国联通市场部副总经理尹少春表示，基于5G、10GPON、WiFi6等新技术推出的联通三千兆业务，可以通过“高带宽+大语音+大流量+大视频+智能组网+丰富权益”向联通用户提供一站式高速上网服务。		公司
2020-05-17 20:12:24	交易平台Bitfinex显示，比特币短线拉升170美元，现报9672美元/枚。		市场
2020-05-17 20:06:26	  【广发证券郭磊：疫情对全球经济冲击最大的阶段正在过去】广发证券首席宏观分析师、金牛最佳分析师郭磊17日晚表示，疫情对全球经济冲击最大的阶段正在过去，欧美也在积极复工，虽然欧美新增病例还是偏多，但逐步复工已经开始。疫情目前的阶段是顶部平台期，已经过了快速上升的阶段，但主要指标还没有下来，疫情内部结构发生了变化。		观点
2020-05-17 20:02:02	  葡萄牙新冠肺炎确诊病例升至29036例，此前为28810例。		国际 疫情
2020-05-17 19:53:25	【5月17日《新闻联播》主要内容】今天《新闻联播》的主要内容有：1、中共中央 国务院《关于新时代推进西部大开发形成新格局的指导意见》；2、十三届全国人大常委会举行第五十四次委员长会议 栗战书主持；3、【决战决胜脱贫攻坚】我国2019年申请脱贫摘帽的344个贫困县全部脱贫摘帽；4、新华社长篇通讯：风雨无阻向前进——写在全国疫情防控阻击战取得重大战略成果之际；5、人类命运与共 携手抗击疫情；6、【两会一年间】创新监督方式 更好助力经济社会发展和改革攻坚任务；7、国务院联防联控机制新闻发布会：黑龙江现有病例全部治愈出院；8、世卫：全球新冠肺炎确诊病例近450万；9、国际锐评：“大炮连天”的美国政客是在真防疫还是在演大片？		宏观 焦点
2020-05-17 19:39:18	  【北京将建设公共卫生安全应急保障基地】17日，北京新冠肺炎疫情防控工作领导小组复工复产防控组副组长、北京市发展改革委主任谈绪祥在发布会上表示，北京市正在加紧研究建设北京市公共卫生安全应急保障基地，优先利用工业腾退用地建设基地，进一步提升全市应急医疗物资保障能力和水平。他强调，基地不是简单的加大仓储能力，以实物储备为基础，以能力储备为核心，以信息储备为保障，形成统一调度、统一管理、统一配送的公共卫生安全应急物资保障网络。		疫情
2020-05-17 19:27:33	  印度将全国封锁延长至5月31日。		国际
2020-05-17 19:20:30	  格力电器：5月18日格力董明珠店将举行新品首发。		公司
2020-05-17 19:13:49	  【联合国粮食及农业组织首席经济学家：目前并没有看出中国会出现粮食危机】联合国粮食及农业组织首席经济学家马克西莫·托雷罗接受邮件专访表示，目前并没有看出中国会出现粮食危机。中国在粮食安全和粮食生产方面已取得巨大飞跃，谷物库存水平很高。人口众多的国家需要确保照顾到最贫困人口，他们大多在农村地区。这可以通过有针对性的投资、财政激励措施和多种方式来完成。避免粮食危机的第一步是不让任何一个人掉队。在病毒大流行时期，这比以往任何时候都更加重要，因为我们需要每个人都安全。（国际金融报）		其他
2020-05-17 19:07:58	  中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见： 优化能源供需结构。优化煤炭生产与消费结构，推动煤炭清洁生产与智能高效开采，积极推进煤炭分级分质梯级利用，稳步开展煤制油、煤制气、煤制烯烃等升级示范。建设一批石油天然气生产基地。加快煤层气等勘探开发利用。构建多层次天然气储备体系，在符合条件的地区加快建立地下储气库。支持符合环保、能效等标准要求的高载能行业向西部清洁能源优势地区集中。		宏观
2020-05-17 18:59:05	  中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见：努力营造良好营商环境。深化“放管服”改革，加快建设服务型政府。落实全国统一的市场准入负面清单制度，推动“非禁即入”普遍落实。强化竞争政策的基础性地位，进一步落实公平竞争审查制度。		宏观
2020-05-17 18:58:51	  中共中央 国务院关于新时代推进西部大开发形成新格局的指导意见：继续加大西电东送等跨省区重点输电通道建设，提升清洁电力输送能力。加强电网调峰能力建设，有效解决弃风弃光弃水问题。积极推进配电网改造行动和农网改造升级，提高偏远地区供电能力。加快北煤南运通道和大型煤炭储备基地建设，继续加强油气支线、终端管网建设。构建多层次天然气储备体系，在符合条件的地区加快建立地下储气库。		宏观
2020-05-17 18:55:34	中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见： 深化要素市场化配置改革。提高西部地区直接融资比例，支持符合条件的企业在境内外发行上市融资、再融资，通过发行公司信用类债券、资产证券化产品融资。西部贫困地区企业首次公开发行上市、新三板挂牌、发行债券、并购重组等适用绿色通道政策。		焦点
2020-05-17 18:53:41	中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见：  强化开放大通道建设。积极实施中新（重庆）战略性互联互通示范项目。完善北部湾港口建设，打造具有国际竞争力的港口群，加快培育现代海洋产业，积极发展向海经济。积极发展多式联运，加快铁路、公路与港口、园区连接线建设。强化沿江铁路通道运输能力和港口集疏运体系建设。		宏观
2020-05-17 18:52:16	  中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见：  加强可再生能源开发利用，开展黄河梯级电站大型储能项目研究，培育一批清洁能源基地。加快风电、光伏发电就地消纳。继续加大西电东送等跨省区重点输电通道建设，提升清洁电力输送能力。加强电网调峰能力建设，有效解决弃风弃光弃水问题。积极推进配电网改造行动和农网改造升级，提高偏远地区供电能力。		宏观
2020-05-17 18:51:29	中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见： 强化基础设施规划建设。提高基础设施通达度、通畅性和均等化水平，推动绿色集约发展。加强横贯东西、纵贯南北的运输通道建设，拓展区域开发轴线。强化资源能源开发地干线通道规划建设。加快川藏铁路、沿江高铁、渝昆高铁、西（宁）成（都）铁路等重大工程规划建设。		宏观
2020-05-17 18:50:38	  中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见：以共建“一带一路为引领，加大西部开放力度，积极参与和融入“一带一路”建设。支持新疆加快丝绸之路经济带核心区建设，形成西向交通枢纽和商贸物流、文化科教、医疗服务中心支持重庆、四川、陕西发挥综合优势，打造内陆开放高地和开发开放枢纽支持甘肃、陕西充分发掘历史文化优势，发挥丝绸之路经济带重要通道、节点作用。支持贵州、青海深化国内外生态合作，推动绿色丝绸之路建设。		宏观
2020-05-17 18:49:57	  中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见：到2035年，西部地区基本实现社会主义现代化，基本公共服务、基础设施通达程度、人民生活水平与东部地区大体相当，努力实现不同类型地区互补发展、东西双向开放协同并进、民族边疆地区繁荣安全稳固、人与自然和谐共生。		宏观
2020-05-17 18:46:54	  新华社受权发布《中共中央、国务院关于新时代推进西部大开发形成新格局的指导意见》。		焦点
2020-05-17 18:45:25	 【内蒙古将对符合条件企业给予一次性吸纳就业补贴】 从内蒙古自治区新冠肺炎疫情防控工作指挥部召开的新闻发布会上获悉，内蒙古将对符合条件的用工企业给予一次性吸纳就业补贴。内蒙古自治区人力资源和社会保障厅厅长那炜清表示，内蒙古将对在自治区内注册的、招用毕业年度高校毕业生并签订1年以上劳动合同的中小微企业，按每人不低于1000元给予企业一次性吸纳就业补贴，政策受理截止日期为2020年12月31日。（新华社）		其他
2020-05-17 18:41:07	美国约翰·霍普金斯大学发布的实时统计数据显示，截至北京时间2020年05月17日18:38，全球累计确诊4651119例，累计死亡312115例，累计确诊国家和地区数188个。		疫情
2020-05-17 18:34:25	  卡塔尔报告新增1632例新冠肺炎确诊病例，周六报告1547例。		国际 疫情
2020-05-17 18:33:29	  【金新农：出资1亿元与关联方设立控股公司 扩大广东生猪养殖规模】金新农公告，为进一步提升公司养殖实力，扩大养殖规模，拟与关联方金农现代共同出资设立广州天种牧业有限公司（暂定名），暂定注册资本2亿元，其中公司出资1.02亿元，持股比例为51%。广州天种将借助金农现代雄厚的资金实力，以“轻资产”模式租赁猪场，快速扩大公司在广东地区的生猪养殖规模。		公司
2020-05-17 18:27:42	  澳大利亚累计新冠肺炎确诊病例增至7045例，累计死亡病例增至98例。		国际 疫情
2020-05-17 18:19:16	  【武汉出台公积金支持政策：受疫情影响未按月缴存视作连续足额缴存】据长江日报报道，武汉公积金专门出台相关支持政策，加强了公积金的服务保障。因疫情原因，公积金贷款出现逾期，也不影响个人征信。从今年2月起到6月底，公积金中心将对受疫情影响未能正常还款的职工采取以下支持措施：不视为违约，不收取逾期罚息（已计收的罚息作退回处理）；不纳入违约客户黑名单，不上报逾期征信记录（已经上报的予以调整）；自今年7月份起，贷款职工应当按《借款抵押合同》约定偿还住房公积金个人贷款本息。		其他
2020-05-17 18:13:39	  【北京：将继续对社区实行封闭式管理】 今天下午，北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京新冠肺炎疫情防控工作领导小组社区防控组副组长、北京市委组织部副部长张革介绍，作为首都，北京市社区的防控面临的任务依然繁重。要继续坚持外防输入、内防反弹，做到“三防”“四早”“九严格”。要继续严格社区村的封闭式管理，用好“健康宝”小程序。继续聚焦重点地区重点人群，严格入境和中高风险地区返京人员的管控，完善应急处置的预案。（北京日报）		疫情
2020-05-17 18:07:39	  【市场监管总局：哄抬防疫物资价格 将一查到底】市场监管总局称，高度重视近期熔喷布等防疫物资价格再度暴涨情况，组成专案组，赴江苏、上海、浙江、广东等地严查中间商和生产厂家价格违法行为，坚决斩断哄抬熔喷布等防疫物资价格的违法链条。各级市场监管部门将进一步加大对熔喷布等防疫物资价格监管力度，对疫情防控期间哄抬价格、发“疫情财”的违法者严惩不贷、一查到底，全力维护市场秩序。		焦点
2020-05-17 17:59:58	  伊朗报告新增340例新冠肺炎确诊病例，前一日新增数为1757例；新增死亡病例51例，前一日新增数为35例。		疫情
2020-05-17 17:53:03	  据华尔街日报：美国据悉将对小企业援助计划进行修订。		国际
2020-05-17 17:52:37	  光莆股份：非公开发行股票申请获证监会审核通过。		公司
2020-05-17 17:48:52	【今年以来券商短期融资券发行规模已超3400亿】在今年货币宽松背景下，证券公司抢抓“低利率”时间窗口，积极推进债券融资，债券发行市场异常火热。相对于公司债，短期融资券更受券商青睐。同时，短期融资券资金成本逐渐走低。4月以来，证券公司发行短期融资券资金成本普遍低于2%，进入“1%时代”。统计数据显示，今年以来券商短期融资券发行规模已超3400亿。		市场
2020-05-17 17:41:00	  【富临运业：子公司发生道路交通事故】富临运业公告，5月16日，公司子公司遂宁公司所属川J28129号客车，从西昌驶往遂宁（车辆核载39人、实载36人）途中，在G5雅西高速西雅方向K2053公里处苏村坝大渡河大桥上发生侧翻，造成2人当场死亡、4人经医院抢救无效死亡、3人重伤的道路交通事故。目前该事故原因及责任认定还在调查中，公司将配合有关部门妥善处理本次事故善后工作，本次事故未对公司生产经营造成重大影响。		公司
2020-05-17 17:40:31	  【瑞士将采取进一步经济措施促重启】当地时间17日，瑞士联邦经济委员盖·帕尔梅林（Guy Parmelin）表示，瑞士将采取进一步的经济措施促重启，他希望提供进一步的中长期激励计划，以提振经济。帕尔梅林表示国家可以加快已经批准的项目，为企业提供一个机会，特别是那些基础设施项目。此外，他希望在公开招标中尽可能优先考虑瑞士本土公司。		国际
2020-05-17 17:38:56	  【吉林市丰满区：18日起 除超市外商贸流通企业暂停营业】吉林省新冠肺炎疫情防控工作领导小组将丰满区风险等级由中风险调整为高风险。根据疫情防控形势需要以及省、市相关要求，经丰满区新冠肺炎疫情防控工作领导小组研究决定，吉林市丰满区商务局今日发布了《丰满区关于商贸流通企业（单位）暂停营业的通知》，通知称，自2020年5月18日零时起，对丰满区内商贸流通企业（单位）暂停营业。		疫情
2020-05-17 17:37:17	  【新纶科技：银川金融控股集团拟入主】新纶科技公告，公司控股股东、实际控制人侯毅将其所持有的公司股份共2.58亿股（占公司总股本的22.35%）的表决权全部委托至银川金融控股集团有限公司行使。银川金融控股集团以包括但不限于表决权委托及/或受让股份、参与定增、二级市场增持等方式取得公司控制权，向公司和侯毅提供财务支持。		公司
2020-05-17 17:34:36	  【股票私募仓位创年内新高】来自第三方机构的最新私募仓位监测数据显示，截至最新一期净值披露日（5月8日），国内所有规模股票私募仓位和百亿级股票私募仓位分别报74.06%和85.13%，双双刷新年内新高。		市场
2020-05-17 17:31:40	  沙特TASI指数涨幅扩大至1.5%。		市场
2020-05-17 17:31:33	  御家汇回复深交所关注函：网红直播是当下美妆品牌宣传推广的手段之一，但并不代表公司是网红经济概念的代表性公司。		公司
2020-05-17 17:29:14	  北京市科委主任许强介绍，目前北京有3种新冠检测试剂通过审批，5种新冠治疗药品通过审批。目前，5条技术路线8个团队在进行疫苗研发，其中有3个团队进入二期临床，数据都很好。（新京报）		疫情
